file,id,verdict,ruling_type,rule_number,user_note,bad_calls,report,correct,notes
db-f4d51fa1.jpg,f4d51fa1-ad4a-432b-bc66-8565506c5a36,FREE DROP - NO PENALTY,free_relief,16.3,plugged,0,,,
db-375a6b7f.jpg,375a6b7f-8677-4c07-ad0a-dc793eb7a6b1,PLAY IT AS IT LIES,play_as_it_lies,9,,0,,,
db-0f4fab9d.jpg,0f4fab9d-ade0-4bc9-94dd-e99fef98f3f6,FREE DROP,free_relief,16.1,,0,,,
db-3a054d42.jpg,3a054d42-9e65-486b-999a-58f14dd37ecd,UNPLAYABLE - ONE STROKE,penalty,19,burried,0,,,
db-b682e4a4.jpg,b682e4a4-dc4c-4c26-8fc2-1a8cd6ae8f7a,FREE DROP - EMBEDDED,free_relief,16.3,,0,,,
db-e7d0fe31.jpg,e7d0fe31-6c40-47fe-93c0-34dae6ff24e1,PLAY IT AS IT LIES,play_as_it_lies,12,,0,,,
db-b327efb0.jpg,b327efb0-6ad8-4820-b2e9-622a869fdf66,FREE DROP,free_relief,16.1,,0,,,
db-c18916c7.jpg,c18916c7-bc75-421d-8741-ae10b6669860,PUTT IT OUT,play_as_it_lies,13,so close,0,,,
db-864bccf0.jpg,864bccf0-9d5b-44db-a9cb-7f58eec6b2a7,PLAY IT AS IT LIES,play_as_it_lies,9,,0,,,
db-9290bda1.jpg,9290bda1-c917-405a-862b-9e0bf110e3fb,JUST PUTT IT,play_as_it_lies,13,,0,,,
db-8c47d704.jpg,8c47d704-798f-47c7-aa6a-2249ea2af322,PLAY IT AS IT LIES,play_as_it_lies,12,,0,,,
db-a2691fd7.jpg,a2691fd7-7de3-46a5-89fa-531e472c517f,PLAY IT AS IT LIES,play_as_it_lies,15.1,"the ball is on loose bark, there are no tree roots",0,,,
db-63799db4.jpg,63799db4-10c7-46db-9042-39f4ee285f6c,PLAY IT AS IT LIES,play_as_it_lies,9,,0,,,
db-8409676e.jpg,8409676e-6bb4-4f98-8957-5b79b177c8d5,PLAY IT AS IT LIES,play_as_it_lies,15.1,,0,,,
db-49f03533.jpg,49f03533-f5fa-4de2-93d8-1b59ba4ce84f,PLAY IT AS IT LIES,play_as_it_lies,9,,0,,,
db-67687d06.jpg,67687d06-2ea3-46a9-b3ca-c1d344f01c77,PLAY IT AS IT LIES,play_as_it_lies,9,,0,,,
db-7a311750.jpg,7a311750-033d-4325-9529-5b88623de863,UNPLAYABLE - ONE STROKE,penalty,19,,0,,,
db-ca86f8cc.jpg,ca86f8cc-8715-41bf-852d-372f653f6f0c,PLAY IT AS IT LIES,play_as_it_lies,16.1,,0,,,
db-d1e14b3e.jpg,d1e14b3e-5184-47e9-85ef-b50ba6f52b13,UNPLAYABLE - ONE STROKE,penalty,19,,0,,,
db-700dbbc9.jpg,700dbbc9-f09d-445c-bf12-27bbabaf19d2,FREE DROP - NO PENALTY,free_relief,16.1,,0,,,
db-9890d106.jpg,9890d106-9e8d-4690-867f-20340c098984,PLAY IT AS IT LIES,play_as_it_lies,9,,0,,,
db-4f181c95.jpg,4f181c95-ac42-416d-96db-6cfcd4dccdd9,UNPLAYABLE - ONE STROKE,penalty,19,,0,,,
db-e2b5a1ab.jpg,e2b5a1ab-aa21-4305-b1aa-b57f71bbb2fb,FREE DROP - NO PENALTY,free_relief,16.1,,0,,,
db-9c2ec957.jpg,9c2ec957-6a8e-4583-a251-de87567e0702,UNPLAYABLE - ONE STROKE,penalty,19,,0,,,
db-c3307beb.jpg,c3307beb-d7c3-41f8-bd06-35956209045a,FREE DROP - NO PENALTY,free_relief,16.1,,0,,,
db-373812f7.jpg,373812f7-081f-4073-a1dd-527792878c3d,FREE DROP,free_relief,16.1,,0,,,
db-aaa06c40.jpg,aaa06c40-b480-46a6-8ee7-d545f9bdd691,UNPLAYABLE - ONE STROKE,penalty,19,,0,,,
db-6dbc0260.jpg,6dbc0260-8fc3-42a7-820b-c03b2c05948c,PLAY IT AS IT LIES,play_as_it_lies,9,,0,,,
db-9fd2b092.jpg,9fd2b092-8b1d-462b-a556-da87e3e4a15c,UNPLAYABLE - ONE STROKE,penalty,19,,0,,,
db-7005b0d4.jpg,7005b0d4-5272-4390-a41f-ce88c656b72d,UNPLAYABLE - ONE STROKE,penalty,19,,0,,,
db-0e8e0e00.jpg,0e8e0e00-9a63-4f1f-99c3-6e61a0c39259,PLAY IT AS IT LIES,play_as_it_lies,9,,0,,,
db-b53b78d2.jpg,b53b78d2-88fc-4ca1-9a16-7599ccdf0607,PLAY IT AS IT LIES,play_as_it_lies,15.1,,0,,,
db-badfbd88.jpg,badfbd88-ab0b-49b0-b4dd-c58952c66a6e,PLAY IT AS IT LIES,play_as_it_lies,9,,0,,,
db-4f6ba4ca.jpg,4f6ba4ca-8764-4d60-8d57-3b64d131deed,PLAY IT AS IT LIES,play_as_it_lies,9,,0,,,
db-7de2339d.jpg,7de2339d-aab6-4f84-983d-cf457cb5071f,PLAY IT OR TAKE UNPLAYABLE,play_as_it_lies,19,,0,,,
db-7bea474d.jpg,7bea474d-32b5-4f2b-882f-f9574a0d23b0,PLAY IT OR TAKE UNPLAYABLE,play_as_it_lies,15.1 / 19,,0,,,
db-5cc8fa80.jpg,5cc8fa80-f923-46c3-8544-7e0c7d90c8e1,PLAY IT OR TAKE UNPLAYABLE,play_as_it_lies,19,,0,,,
db-c6dd19f5.jpg,c6dd19f5-62db-4c6e-93b1-30aeb0af9e3d,FREE DROP IF MARKED GUR,free_relief,16.1,,0,,,
db-27e0137c.jpg,27e0137c-8127-4c0a-a798-44cddafc3a0c,PLAY IT AS IT LIES,play_as_it_lies,9,,0,,,
db-8aaa0e55.jpg,8aaa0e55-167b-425b-8796-cab29c68c3e0,PLAY IT AS IT LIES,play_as_it_lies,9,,0,,,
db-e8fcfb95.jpg,e8fcfb95-e5e6-450c-8b3f-d70132d97484,PLAY IT OR TAKE UNPLAYABLE,play_as_it_lies,19,,0,,,
db-ab0bfce9.jpg,ab0bfce9-7169-4269-b023-19ed212db62f,FREE DROP - IMMOVABLE OBS,free_relief,16.1,,0,,,
db-68dc90f4.jpg,68dc90f4-c2b6-498c-921b-cf1662bf172a,Could not read that one,unclear,,,0,,,
db-22e58851.jpg,22e58851-411c-46fd-aa69-cf87747091a3,Could not read that one,unclear,,,0,,,
db-e2338d8e.jpg,e2338d8e-7bfb-43ce-9110-9c70dbbc6ff7,Could not read that one,unclear,,,0,,,
db-8ee86d1b.jpg,8ee86d1b-f3b1-4293-b095-9e54a84ecccb,Could not read that one,unclear,,,0,,,
db-be868d22.jpg,be868d22-1fc0-4f2c-98e9-913bce903a92,Could not read that one,unclear,,,0,,,
db-cf16cbeb.jpg,cf16cbeb-e039-4090-8fa0-5e480a7ec9aa,Could not read that one,unclear,,,0,,,
